'jian'qiao'bei	建桥杯	011124.129632.121324	51111254.1234313432.12341324
'cai'hua'cun	菜花村	173912.173235.12124	12234431234.1223235.1234124
'cai'niao'qiu'yuan	菜鸟球员	173912.99.111244.8028	12234431234.35451.11211241344.2512534
'cai'niao'bang	菜鸟帮	173912.99.735225	12234431234.35451.111352252
'jiang'chen'zhong	蒋辰中	174124.131154.802	122412354124.1311534.2512
'jiang'wei	蒋蔚	174124.170714	122412354124.12251311234124
'jiang'yan'jiao	蒋燕皎	174124.188029.381664	122412354124.1221251211354444.32511413434
'jiang'peng'long	蒋澎龙	174124.441933.13534	122412354124.441121251431333.13534
'bo'bian	薄边	174414.53454	1224411251124124.53454
'bo'wei	薄味	174414.80112	1224411251124124.25111234
'sha'la'bo'wa	莎拉波娃	174423.1061.445324.591919	1224412343.12141431.44153254.531121121
'fan'ying	范瑛	174455.111724	12244155.112112225134
'fan'chu'qing	范楚卿	174455.121208.353032	12244155.1234123452134.3535115452
'fan'wei'jing	范蔚菁	174455.170714.177121	12244155.12251311234124.12211212511
'fan'yun'ruo	范蕴若	174455.175584.171380	12244155.122551251125221.12213251
'fan'ting'yu	范廷钰	174455.31954.91114	12244155.312154.3111511214
'fan'xi'yu	范希钰	174455.341325.91114	12244155.3413252.3111511214
'fan'fu'li'te	范弗利特	174455.5732.9222.311914	12244155.51532.3123422.3121121124
'fan'xi'ping	范西屏	174455.74.074332	12244155.125351.513431132
'luo'meng'shi'she	落梦诗社	174490.121290.401914.6219	122441354251.12341234354.45121124.4524121
'luo'dian	落点	174490.218069	122441354251.212514444
'luo'bai	落败	174490.2890	122441354251.25343134
'luo'dai	落袋	174490.321544	122441354251.32154413534
'luo'wei	落位	174490.3261	122441354251.3241431
'luo'di'xian'qiu	落底线球	174490.473514.551154.111244	122441354251.41335154.55111534.11211241344
'lao'zi	落子	174490.58	122441354251.521
'meng'tuo'ya	蒙托亚	174513.10315.122	1224511353334.121315.122431
'meng'zha	蒙扎	174513.105	1224511353334.1215
'meng'ta'ai'li'si	蒙塔埃利斯	174513.191792.195494.9222.703312	1224511353334.121122341251.1215431134.3123422.122111343312
'meng'ta'nei'si	蒙塔内斯	174513.191792.2534.703312	1224511353334.121122341251.2534.122111343312
'meng'te'lei'gong'kai'sai	蒙特雷公开赛	174513.311914.1683.3454.1132.467638	1224511353334.3121121124.1452444425121.3454.1132.44511221342534
'meng'te'ka'luo'lao'li'shi'da'shi'sai	蒙特卡洛劳力士大师赛	174513.311914.21124.449080.174553.53.19.134.23125.467638	1224511353334.3121121124.21124.441354251.1224553.53.121.134.231252.44511221342534
'meng'te'ka'luo	蒙特卡罗	174513.311914.21124.8490	1224511353334.3121121124.21124.25221354
'meng'te'ze'mo'luo	蒙特泽莫罗	174513.311914.445412.178114.8490	1224511353334.3121121124.44154112.1222511134.25221354
'meng'te'ze'mo'luo	蒙特泽摩罗	174513.311914.445412.471217.8490	1224511353334.3121121124.44154112.413123412343112.25221354
'zhi'jia'ge'gong'niu	芝加哥公牛	17454.5380.180212.3454.31	122454.53251.1251212512.3454.3112
'lao'da	劳达	174553.134454	1224553.134454
'lao'lun'si'zui'jia'fu'chu'jiang	劳伦斯最佳复出奖	174553.323435.703312.817254.321919.318190.02.412904	1224553.323435.122111343312.251112211154.32121121.312511354.52252.412354134
'lao'er'nei'tuo	劳尔内托	174553.35234.2534.10315	1224553.35234.2534.121315
'lao'yi'you'guan'shao'yi'tu	劳逸攸关少亦图	174553.358034.32290.4334.2343.66.259041	1224553.35251354454.3223134.431134.2343.413234.25354441
'ying'huo'cheng'kuo	营活城廓	174580.4496.191354.474182	12245251251.441312251.121135534.4134125152152
'ying'qi	营气	174580.67	12245251251.3115
'yi'jia'ren	艺佳人	175.321919.34	1225.32121121.34
'jie'jie'guan'chuan	节节贯串	1752.1752.0628.80802	12252.12252.55212534.2512512
'jie'mu'jie'shuo	节目解说	1752.82.355331.404385	12252.25111.3535112533112.454325135
'jie'yue	节钺	1752.911554	12252.3111515534
'ba'di'ya'gong'kai'sai	芭堤雅公开赛	175215.198114.793241.3454.1132.467638	1225215.121251112134.152332411121.3454.1132.44511221342534
'sa'la'mei'ji'li	萨拉梅吉里	175263.1061.123106.1980.81211	12252414313.12141431.12343155414.121251.2511211
'sa'ma'la	萨玛拉	175263.1150.1061	12252414313.1121551.12141431
'sa'bo'ni'si	萨博尼斯	175263.121254.0735.703312	12252414313.121251124124.51335.122111343312
'sa'ke'la'men'tuo	萨克拉门托	175263.128035.1061.42.10315	12252414313.1225135.12141431.425.121315
'sa'ke'la'men'tuo'guo'wang	萨克拉门托国王	175263.128035.1061.42.10315.251141.11	12252414313.1225135.12141431.425.121315.25112141.1121
'sa'ge'le'bu'shi'nei'sai	萨格勒布室内赛	175263.129080.1853.1325.461549.2534.467638	12252414313.1234354251.12212511253.13252.445154121.2534.44511221342534
'sa'fen'na	萨芬娜	175263.173453.595112	12252414313.1223453.531511352
'sa'fa'luo'wa	萨法洛娃	175263.441954.449080.591919	12252414313.44112154.441354251.531121121
'sa'bin'na	萨宾娜	175263.463214.595112	12252414313.4453212134.531511352
'sa'ba'de'er	萨巴德尔	175263.5215.331285.35234	12252414313.5215.332122522114544.35234
'sa'mu'suo'nuo'fu	萨姆索诺夫	175263.5906.124554.401710.1134	12252414313.53155414.1245554234.4512213251.1134
'sa'ji'er	萨基尔	175263.7019.35234	12252414313.12211134121.35234
'sa'ji'er'sai'dao	萨基尔赛道	175263.7019.35234.467638.431384	12252414313.12211134121.35234.44511221342534.431325111454
'su'yi'peng	苏翼鹏	175344.040484.363699	1225344.54154125121122134.3511351135451
'su'shan'lang'ge'lang'bei	苏珊朗格朗杯	175344.113531.40336.129080.40336.121324	1225344.112135351.4511543511.1234354251.4511543511.12341324
'su'ya'lei'zi	苏亚雷兹	175344.122.1683.431566	1225344.122431.1452444425121.431554554
'su'dong'po'yang'sheng'jue	苏东坡养生诀	175344.15234.195324.4332.371.405134	1225344.15234.12153254.431113432.31121.455134
'su'su	苏苏	175344.175344	1225344.1225344
'su'di'er	苏蒂尔	175344.176125.35234	1225344.122414345252.35234
'su'yao'guo	苏耀国	175344.241351.251141	1225344.24313554154132411121.25112141
'su'yi'shi'da'jiang'sai	苏伊士大奖赛	175344.32013.19.134.412904.467638	1225344.325113.121.134.412354134.44511221342534
'su'yi'shi'gong'kai'sai	苏伊士公开赛	175344.32013.19.3454.1132.467638	1225344.325113.121.3454.1132.44511221342534
'su'zheng	苏争	175344.35012	1225344.355112
'su'guang'yue	苏广悦	175344.47.494385	1225344.413.4424325135
'su'di'man'bei	苏迪曼杯	175344.83454.818454.121324	1225344.25121454.25112522154.12341324
'mao'yuan'yi	茅元仪	17543.1135.32434	12254523.1135.32434
'fang'tan	芳碳	1760.142019	1224153.13251252134334
'di'pu'sa'le'wei'qi	蒂普萨勒维奇	176125.431221.175263.1853.553241.134182	122414345252.431224312511.12252414313.12212511253.55132411121.13412512
'di'mu'ge'luo'ke	蒂姆格洛克	176125.5906.129080.449080.128035	122414345252.53155414.1234354251.441354251.1225135
'di'mu'kua'te'man	蒂姆夸特曼	176125.5906.134115.311914.818454	122414345252.53155414.134115.3121121124.25112522154
'di'mu'fu'lei'ze	蒂姆弗雷泽	176125.5906.5732.1683.445412	122414345252.53155414.51532.1452444425121.44154112
'di'mu'ha'da'wei	蒂姆哈达威	176125.5906.8092.134454.131594	122414345252.53155414.251341251.134454.131531534
'lian'hua'jiao	莲花角	177744.173235.35	1221512454.1223235.3535112
'cao'di'qiu'chang	草地球场	178112.19525.111244.19533	122251112.121525.11211241344.121533
'cao'chang	草场	178112.19533	122251112.121533
'mo'ya	莫亚	178114.122	1222511134.122431
'mo'zi'ge'fu	莫兹戈夫	178114.431566.1534.1134	1222511134.431554554.1534.1134
'mo'quan	莫拳	178114.4367	1222511134.4311343112
'mo'wei'si'ta'gong'kai'sai	莫维斯塔公开赛	178114.553241.703312.191792.3454.1132.467638	1222511134.55132411121.122111343312.121122341251.3454.1132.44511221342534
'mo'si'li	莫斯利	178114.703312.9222	1222511134.122111343312.3123422
'mo'tai	莫泰	178114.732414	1222511134.1113424134
'mo'li'si	莫里斯	178114.81211.703312	1222511134.2511211.122111343312
'mo'li'si'en'duo'er	莫里斯恩多尔	178114.81211.703312.251345.9090.35234	1222511134.2511211.122111343312.2513414544.354354.35234
'mo'luo	莫罗	178114.8490	1222511134.25221354
'ge'xin'ai	葛新爱	178135.611232.394514	122251135345.4143112343312.3443451354
'miao'miao	苗苗	1783.1783	12225121.12225121
'miao'zu'jian'dao	苗族尖刀	1783.603194.234134.53	12225121.41533131134.234134.53
'cai'zhen'hua	蔡振华	179014.101314.323512	12235445411234.1211311534.323512
'cai'li'fo'quan	蔡李佛拳	179014.1258.325732.4367	12235445411234.1234521.3251532.4311343112
'cai'meng	蔡猛	179014.385884	12235445411234.35352125221
'cai'quan	蔡拳	179014.4367	12235445411234.4311343112
'cai'sai	蔡赛	179014.467638	12235445411234.44511221342534
'cai'shu'ping	蔡书平	179014.5524.14312	12235445411234.5524.14312
'cai'jing	蔡竞	179014.618035	12235445411234.4143125135
'cai'wen'chi	蔡文驰	179014.66.50525	12235445411234.4134.551525
'cai'xiao'li	蔡晓黎	179014.811535.923534	12235445411234.2511153135.312343533424134
'yuan'tian'yong'yi	苑田勇一	179055.83.542513.1	12235455.25121.542511253.1
'gan'si'yang	甘思阳	18.8365.5281	12211.251214544.522511
'ke'jie'shu'bi'sai	可结束比赛	1802.551980.180234.1535.467638	12512.551121251.1251234.1535.44511221342534
'ge'shu'ban'duan	哥舒半段	180212.341124.432.973554	1251212512.341122515452.43112.321113554
'zheng'xing	整形	180231.113233	1251234313412121.1132333
'zheng'tao'dong'zuo	整套动作	180231.13478.115453.323121	1251234313412121.1341211154.115453.3231211
'zheng'yan	整眼	180231.8203	1251234313412121.25111511534
'zheng'pan	整盘	180231.9384	1251234313412121.33541425221
'su'du	速度	180234.471854	1251234454.413122154
'su'du'cha'yi	速度差异	180234.471854.43121.515132	1251234454.413122154.431113121.515132
'su'du'zhi'wang	速度之王	180234.471854.454.11	1251234454.413122154.454.1121
'lai'pi'jie	赖皮劫	180238.53254.195453	1251234352534.53254.1215453
'hui'jun	惠均	181215.193541	125112144544.1213541
'hui'pu'gong'kai'sai	惠普公开赛	181215.431221.3454.1132.467638	125112144544.431224312511.3454.1132.44511221342534
'geng'zheng	更正	18134.121	1251134.12121
'san'da'wang	散打王	182510.1012.11	122125113134.12112.1121
'san'qi	散气	182510.67	122125113134.3115
'san'shou	散手	182510.67	122125113134.3112
'bian'gan	鞭杆	183214.12112	122125112321251134.1234112
'bian'tui	鞭腿	183214.360344	122125112321251134.3511511534454
'jin'lu'fang	靳鲁芳	183312.9881.1760	1221251123312.352512112511.1224153
'gong'huo	共活	1834.4496	122134.441312251
'gong'yi	共弈	1834.66132	122134.413234132
'ju'lian'hua	鞠连华	183568.77454.323512	12212511235431234.1512454.323512
'shi'ao'de	世奥得	185.325684.338114	12215.325431234134.33225111124
'shi'jie'yu'mao'qiu'jin'biao'sai	世界羽毛球锦标赛	185.833432.0404.67.111244.913815.121124.467638	12215.251213432.541541.3115.11211241344.3111532511252.123411234.44511221342534
'shi'jie'xun'hui'sai'da'shi'sai	世界巡回赛大师赛	185.833432.05454.25801.467638.134.23125.467638	12215.251213432.555454.252511.44511221342534.134.231252.44511221342534
'shi'jie'xun'hui'sai'zong'jue'sai	世界巡回赛总决赛	185.833432.05454.25801.467638.438065.415134.467638	12215.251213432.555454.252511.44511221342534.432514544.415134.44511221342534
'shi'jie'xun'hui'sai'sai	世界巡回赛赛	185.833432.05454.25801.467638.467638	12215.251213432.555454.252511.44511221342534.44511221342534
'shi'jie'pai'ming	世界排名	185.833432.1023.9080	12215.251213432.12121112111.354251
'shi'jie'bei'yu'mao'qiu'sai	世界杯羽毛球赛	185.833432.121324.0404.67.111244.467638	12215.251213432.12341324.541541.3115.11211241344.44511221342534
'shi'jie'gong'fu'wang'zheng'ba'sai	世界功夫王争霸赛	185.833432.12153.1134.11.35012.161836.467638	12215.251213432.12153.1134.1121.355112.145244441221251123511.44511221342534
'shi'jie'qi'wang'zhan	世界棋王战	185.833432.1270.11.218014	12215.251213432.123412211134.1121.212511534
'shi'jie'bang'qiu'xie'hui	世界棒球协会	185.833432.127312.111244.125344.341154	12215.251213432.123411134112.11211241344.125344.341154
'shi'jie'bang'qiu'jing'dian'sai	世界棒球经典赛	185.833432.127312.111244.555411.251714.467638	12215.251213432.123411134112.11211241344.55154121.25122134.44511221342534
'shi'jie'bang'qiu'jin'biao'sai	世界棒球锦标赛	185.833432.127312.111244.913815.121124.467638	12215.251213432.123411134112.11211241344.3111532511252.123411234.44511221342534
'shi'jie'ye'yu'bang'qiu'yun'dong	世界业余棒球运动	185.833432.22.34112.127312.111244.115444.115453	12215.251213432.22431.3411234.123411134112.11211241344.1154454.115453
'shi'jie'tuan'ti'guan'jun'sai	世界团体冠军赛	185.833432.251231.32121.451134.4577.467638	12215.251213432.251231.3212341.451135124.451512.44511221342534
'shi'jie'wang'qiu'jin'biao'sai	世界网球锦标赛	185.833432.253434.111244.913815.121124.467638	12215.251213432.253434.11211241344.3111532511252.123411234.44511221342534
'shi'jie'zhong'liang'ji'quan'wang	世界重量级拳王	185.833432.318121.811811.55354.4367.11	12215.251213432.312511211.251112511211.551354.4311343112.1121
'shi'jie'zhong'liang'ji'guan'jun	世界重量级冠军	185.833432.318121.811811.55354.451134.4577	12215.251213432.312511211.251112511211.551354.451135124.451512
'shi'jie'ji'lu	世界记录	185.833432.40515.012414	12215.251213432.45515.51124134
'shi'jie'quan'wang	世界拳王	185.833432.4367.11	12215.251213432.4311343112.1121
'shi'jie'guan'jun	世界冠军	185.833432.451134.4577	12215.251213432.451135124.451512
'shi'jie'zhi'ye'quan'ji'li'shi'hui	世界职业拳击理事会	185.833432.728034.22.4367.1120.118121.180012.341154	12215.251213432.12211125134.22431.4311343112.11252.11212511211.12515112.341154
'shi'jie'tai'quan'lian'meng	世界泰拳联盟	185.833432.732414.4367.724334.813684	12215.251213432.1113424134.4311343112.122111431134.2511351125221
'shi'jie'jin'biao'sai	世界锦标赛	185.833432.913815.121124.467638	12215.251213432.3111532511252.123411234.44511221342534
'le'fu'te	勒夫特	1853.1134.311914	12212511253.1134.3121121124
'le'gu	勒古	1853.1280	12212511253.12251
'le'bu'lang	勒布朗	1853.1325.40336	12212511253.13252.4511543511
'le'mang	勒芒	1853.17415	12212511253.122415
'yan'shi'ping'heng	燕式平衡	188029.112154.14312.333582	1221251211354444.112154.14312.3323525121134112
'yan'xing	燕形	188029.113233	1221251211354444.1132333
'yan'shan'jie'yi	燕山结义	188029.20.551980.434	1221251211354444.252.551121251.434
'yan'qing'fan'zi'quan	燕青翻子拳	188029.712511.368834.58.4367	1221251211354444.11212511.343123425121541541.521.4311343112
'yan'qing'quan	燕青拳	188029.712511.4367	1221251211354444.11212511.4311343112
'huang'jian'hua	黄建华	188334.011124.323512	12212512134.51111254.323512
'huang'yuan'jun	黄元俊	188334.1135.325430	12212512134.1135.325434354
'huang'mei'yue'jia'quan	黄梅岳家拳	188334.123106.321210.4613.4367	12212512134.12343155414.32121252.4451353334.4311343112
'huang'mei'shi'jie'jia'jia'yu	黄梅时节家家雨	188334.123106.81124.1752.4613.4613.16	12212512134.12343155414.2511124.12252.4451353334.4451353334.12524444
'huang'long'shi	黄龙士	188334.13534.19	12212512134.13534.121
'huang'long'zhou'hu	黄龙周虎	188334.13534.351980.8735	12212512134.13534.35121251.21531535
'huang'ying'pu'die	黄莺扑蝶	188334.174699.1024.261852	12212512134.1224535451.12124.251214122151234
'huang'feng	黄蜂	188334.269071	12212512134.2512143541112
'huang'jian'hua	黄健华	188334.320114.323512	12212512134.3251111254.323512
'huang'jia	黄佳	188334.321919	12212512134.32121121
'huang'jun	黄俊	188334.325430	12212512134.325434354
'huang'jun'qun	黄俊群	188334.325430.013802	12212512134.325434354.5113251431112
'huang'de'xun	黄德勋	188334.331285.802853	12212512134.332122522114544.251253453
'huang'xi'wen	黄希文	188334.341325.66	12212512134.3413252.4134
'huang'biao	黄飚	188334.353469	12212512134.3534433443344334
'huang'liang'yu	黄良玉	188334.403.114	12212512134.4511534.11214
'huang'he'san'jiao'shui	黄河三搅水	188334.441802.111.106425.2534	12212512134.44112512.111.121443452535.2534
'huang'he'bei	黄河杯	188334.441802.121324	12212512134.44112512.12341324
'huang'yong'ji	黄永吉	188334.45534.1980	12212512134.45534.121251
'huang'geng	黄庚	188334.470134	12212512134.41351134
'huang'yi'hua	黄怡桦	188334.495480.123232	12212512134.44254251.1234323512
'huang'sheng'sheng	黄圣盛	188334.5419.135534	12212512134.54121.13553425221
'huang'zong'han	黄综翰	188334.554614.128114	12212512134.55144511234.1225111234541541
'huang'yi'zu	黄翊祖	188334.610404.6227	12212512134.41431541541.452425111
'huang'di'nei'jing	黄帝内经	188334.6125.2534.555411	12212512134.414345252.2534.55154121
'huang'di'nei'shi'fa	黄帝内视法	188334.6125.2534.622535.441954	12212512134.414345252.2534.45242535.44112154
'huang'wen'guan	黄文冠	188334.66.451134	12212512134.4134.451135124
'huang'yi'zhong	黄奕中	188334.66134.802	12212512134.413234134.2512
'huang'yi'yun	黄奕昀	188334.66134.813541	12212512134.413234134.25113541
'huang'yan	黄焰	188334.693597	12212512134.433435321511
'huang'jin'xian	黄进先	188334.76454.31935	12212512134.1132454.312135
'huang'chen	黄晨	188334.811314	12212512134.25111311534
'huang'xing'can	黄星灿	188334.81371.6920	12212512134.251131121.4334252
'huang'jin'bang'qiu'lian'meng	黄金棒球联盟	188334.91.127312.111244.724334.813684	12212512134.34112431.123411134112.11211241344.122111431134.2511351125221
'huang'yue	黄钺	188334.911554	12212512134.3111515534
'tu'wu'xiu'he	土屋秀和	19.071549.9253.9280	121.513154121.3123453.31234251
'tu'er'qi'da'jiang'sai	土耳其大奖赛	19.72.70.134.412904.467638	121.122111.12211134.134.412354134.44511221342534
'tu'er'qi'yi'si'tan'bu'er'sai'dao	土耳其伊斯坦布尔赛道	19.72.70.32013.703312.19811.1325.35234.467638.431384	121.122111.12211134.325113.122111343312.12125111.13252.35234.44511221342534.431325111454
'tian'man'fa	填满法	191224.441714.441954	1211225111134.4411221253434.44112154
'tian'kong	填空	191224.463411	1211225111134.44534121
'tian'kong'fa	填空法	191224.463411.441954	1211225111134.44534121.44112154
'tian'zi	填子	191224.58	1211225111134.521
'huai'qi	坏棋	191324.1270	1211324.123412211134
'huai'xiao'zi	坏小子	191324.234.58	1211324.234.521
'ping'tian'wan'shuo	坪田玩硕	191432.83.111135.141328	12114312.25121.11211135.13251132534
'ta'ke	塔克	191792.128035	121122341251.1225135
'ta'shi'gan'gong'kai'sai	塔什干公开赛	191792.3212.112.3454.1132.467638	121122341251.3212.112.3454.1132.44511221342534
'ta'na'su'gan	塔纳苏甘	191792.552534.175344.18	121122341251.5512534.1225344.12211
'ta'wa'lei'si	塔瓦雷斯	191792.79.1683.703312	121122341251.1554.1452444425121.122111343312
'ta'li'ke'bu'lai'ke	塔里克布莱克	191792.81211.128035.1325.17168.128035	121122341251.2511211.1225135.13252.1221431234.1225135
'feng'ju	封局	191914.07580	121121124.5135251
'feng'qi	封棋	191914.1270	121121124.123412211134
'feng'qi'zhi	封棋制	191914.1270.311252	121121124.123412211134.31125222
'feng'sha	封杀	191914.3412	121121124.341234
'feng'jiao	封角	191914.35	121121124.3535112
'feng'shen'hui	封神会	191914.6283.341154	121121124.452425112.341154
'feng'shou	封手	191914.67	121121124.3112
'feng'shou'quan	封手拳	191914.67.4367	121121124.3112.4311343112
'feng'duan	封断	191914.685332	121121124.43123453312
'feng'hao	封号	191914.8015	121121124.25115
'feng'jin'kui	封金匮	191914.91.180215	121121124.34112431.12512125345
'feng'pan	封盘	191914.9384	121121124.33541425221
'du'jie'hui'ji'qiu	堵截回击球	191931.121324.25801.1120.111244	12112132511.12132411121534.252511.11252.11211241344
'kao'bi'lun'bei	考比伦杯	19315.1535.323435.121324	121315.1535.323435.12341324
'kao'xin'si	考辛斯	19315.6112.703312	121315.4143112.122111343312
'kao'si'wo'si	考斯沃斯	19315.703312.4496.703312	121315.122111343312.4413134.122111343312
'kao'si'wo'si'yin'qing	考斯沃斯引擎	19315.703312.4496.703312.572.173587	121315.122111343312.4413134.122111343312.5152.1223525131343112
'kao'li'si'tan	考利斯坦	19315.9222.703312.19811	121315.3123422.122111343312.12125111
'hao'shuai	郝帅	193232.2325	121323452.23252
'he'la'de'ka	赫拉德卡	193234.1061.331285.21124	12132341213234.12141431.332122522114544.21124
'he'du'sai'ke'bei	赫杜塞克杯	193234.1219.467639.128035.121324	12132341213234.1234121.4451122134121.1225135.12341324
'chi'song'zi'dao'yin'fa	赤松子导引法	193234.123454.58.515124.572.441954	1213234.12343454.521.515124.5152.44112154
'chi'long'zhi'geng	赤龙之耕	193234.13534.454.7176	1213234.13534.454.1112341132
'he'zuo'ni'ya	赫佐尼亚	193234.321311.0735.122	12132341213234.3213121.51335.122431
'he'er'nan'de'zi	赫尔南德兹	193234.35234.122542.331285.431566	12132341213234.35234.122543112.332122522114544.431554554
'he'er'ke'ge	赫尔克格	193234.35234.128035.129080	12132341213234.35234.1225135.1234354251
'he'er'li	赫尔利	193234.35234.9222	12132341213234.35234.3123422
'chi'xing'yin'che	赤星因彻	193234.81371.251341.331553	1213234.251131121.251341.3321553
'peng'song	彭松	19333.123454	121251431333.12343454
'peng'quan	彭荃	19333.173411	121251431333.122341121
'peng'shuai	彭帅	19333.2325	121251431333.23252
'peng'hong'li	彭鸿礼	19333.441219.625	121251431333.44112135451.45245
'peng'lu'yang	彭陆洋	19333.521120.444312	121251431333.5211252.441431112
'peng'li'yao	彭立尧	19333.61.153135	121251431333.41431.153135
'peng'zu'dao'yin'fa	彭祖导引法	19333.6227.515124.572.441954	121251431333.452425111.515124.5152.44112154
'peng'xiao'feng	彭晓峰	19333.811535.209071	121251431333.2511153135.2523541112
'peng'jing'hua	彭景华	19333.814124.323512	121251431333.251141251234.323512
'lao'wu	老五	19335.1251	121335.1251
'lao'sa	老萨	19335.175263	121335.12252414313
'lao'cai	老蔡	19335.179014	121335.12235445411234
'lao'he	老赫	19335.193234	121335.12132341213234
'lao'niu	老牛	19335.31	121335.3112
'lao'pei	老佩	19335.323515	121335.32351252
'lao'pu	老普	19335.431221	121335.431224312511
'lao'ying'dui	老鹰队	19335.473239.5234	121335.413323241112135451.5234
'lao'zhang	老张	19335.573154	121335.5153154
'lao'zi'an'mo'fa	老子按摩法	19335.58.104659.471217.441954	121335.521.121445531.413123412343112.44112154
'lao'shi	老施	19335.603155	121335.415331525
'lao'nie	老聂	19335.725454	121335.1221115454
'lao'wa	老瓦	19335.79	121335.1554
'lao'wu	老吴	19335.801134	121335.2511134
'lao'shu'tou'you	老鼠偷油	19335.97.323412.4483	121335.3215115445445.32341251122.44125121
'lao'niao'qiu'yuan	老鸟球员	19335.99.111244.8028	121335.35451.11211241344.2512534
'ban'ben'long'jie	坂本龙介	193354.121.13534.3432	1213354.12341.13534.3432
'ban'tian'rong'nan	坂田荣男	193354.83.174512.8353	1213354.25121.122451234.2512153
'kan'bei'er'ming'ren'tang'guan'jun'sai	坎贝尔名人堂冠军赛	193534.28.35234.9080.34.248019.451134.4577.467638	1213534.2534.35234.354251.34.24345251121.451135124.451512.44511221342534
'kan'te	坎特	193534.311914	1213534.3121121124
'kan'pu'sa	坎普萨	193534.431221.175263	1213534.431224312511.12252414313
'jun'heng	均衡	193541.333582	1213541.3323525121134112
'jun'heng'zhi'sheng	均衡制胜	193541.333582.311252.36371	1213541.3323525121134112.31125222.351131121
'jiao'gong	教功	193580.12153	12135213134.12153
'jiao'men'nei'jia'quan	教门内家拳	193580.42.2534.4613.4367	12135213134.425.2534.4451353334.4311343112
'jiao'lian	教练	193580.551554	12135213134.55115534
'zeng'xi	增息	194321.38265	121432524312511.3251114544
'ke'fen	壳粉	194535.683453	1214535.4312343453
'sheng'dong'ji'xi	声东击西	195213.15234.1120.74	1215213.15234.11252.125351
'di'gong'chuo'jiao	地功戳脚	19525.12153.040434.361952	121525.12153.541541324111211534.35111215452
'di'gong'quan	地功拳	19525.12153.4367	121525.12153.4311343112
'di'shu'quan'fa	地术犬法	19525.124.1344.441954	121525.12344.1344.44112154
'di'quan'shu	地犬术	19525.1344.124	121525.1344.12344
'di'lei'chuan'shuo	地雷传说	19525.1683.321154.404385	121525.1452444425121.321154.454325135
'di'bao'xing	地堡形	19525.328019.113233	121525.322511234121.1132333
'di'fang'duan'wei	地方段位	19525.60.973554.3261	121525.4153.321113554.3241431
'di'tang'quan	地趟拳	19525.762420.4367	121525.121213424325251.4311343112
'di'zhong'hai'bei	地中海杯	19525.802.443106.121324	121525.2512.4413155414.12341324
'di'tang'quan	地躺拳	19525.952420.4367	121525.325111324325251.4311343112
'chang'di'zhuang'bei'pian	场地装备篇	19533.19525.412194.9083.374077	121533.121525.412121413534.35425121.314314451325122
'chang'di'sai'che	场地赛车	19533.19525.467638.77	121533.121525.44511221342534.1512
'chang'di'biao'mian	场地表面	19533.19525.713534.132521	121533.121525.11213534.132522111
'chang'shang'de'gu'ding'wu	场上的固定物	19533.211.381354.251281.461214.313533	121533.211.32511354.25122511.44512134.31213533
'chang'fen	场分	19533.3453	121533.3453
'chang'sheng'li	场胜利	19533.36371.9222	121533.351131121.3123422
'chang'wai'qiu	场外球	19533.9024.111244	121533.35424.11211241344
'chang'he	场合	19533.92	121533.341251
'chang'he'ding'shi	场合定式	19533.92.461214.112154	121533.341251.44512134.112154
'jia'tai'luo'ni'ya	嘉泰罗尼亚	195380.732414.8490.0735.122	12125143153251.1113424134.25221354.51335.122431
'jie'jin'qi'wang	劫尽棋亡	195453.07444.1270.415	1215453.513444.123412211134.415
'jie'wang	劫王	195453.11	1215453.1121
'jie'cai	劫材	195453.12123	1215453.1234123
'jie'sha	劫杀	195453.3412	1215453.341234
'jie'fen'zheng'jiao	劫分争搅	195453.3453.35012.106425	1215453.3453.355112.121443452535
'jie'zheng	劫争	195453.35012	1215453.355112
'jie'sheng	劫胜	195453.36371	1215453.351131121
'jie'huo	劫活	195453.4496	1215453.441312251
'ai'la'ni	埃拉尼	195494.1061.0735	1215431134.12141431.51335
'ai'ke'lai'si'tong	埃克莱斯通	195494.128035.17168.703312.542514	1215431134.1225135.1221431234.122111343312.5425112454
'ai'ke'sa'mu	埃克萨姆	195494.128035.175263.5906	1215431134.1225135.12252414313.53155414
'ai'mo'sen	埃莫森	195494.178114.121212	1215431134.1222511134.123412341234
'ai'er'fu	埃尔夫	195494.35234.1134	1215431134.35234.1134
'ai'er'nan'ge'mai'si	埃尔南戈麦斯	195494.35234.122542.1534.7190.703312	1215431134.35234.122543112.1534.1121354.122111343312
'ai'er'fu'li'de	埃尔弗里德	195494.35234.5732.81211.331285	1215431134.35234.51532.2511211.332122522114544
'ai'ze'li	埃泽利	195494.445412.9222	1215431134.44154112.3123422
'ai'luo'wa	埃洛瓦	195494.449080.79	1215431134.441354251.1554
'ai'fu'li	埃弗里	195494.5732.81211	1215431134.51532.2511211
'ai'wen'te'na	埃文特纳	195494.66.311914.552534	1215431134.4134.3121121124.5512534
'ai'wen'fu'ni'ye	埃文富尼耶	195494.66.461803.0735.7252	1215431134.4134.445125125121.51335.12211152
'ai'wen'si	埃文斯	195494.66.703312	1215431134.4134.122111343312
'ai'si'tuo'li'er'gong'kai'sai	埃斯托利尔公开赛	195494.703312.10315.9222.35234.3454.1132.467638	1215431134.122111343312.121315.3123422.35234.3454.1132.44511221342534
'ai'li'ke	埃里克	195494.81211.128035	1215431134.2511211.1225135
