'jian'mo	建模	011124.121784	51111254.12341222511134
'zhan'shu'qing'bao	战术情报	218014.124.497121.105254	212511534.12344.44211212511.1215254
'zhan'chang'zhen'cha'lei'da	战场侦察雷达	218014.19533.322128.469014.1683.134454	212511534.121533.32212534.44535445411234.1452444425121.134454
'zhan'lue'gui'hua	战略规划	218014.839080.113425.153422	212511534.25121354251.11342535.153422
'zhan'lue'qing'bao	战略情报	218014.839080.497121.105254	212511534.25121354251.44211212511.1215254
'zhan'lue'shu'ju'gui'hua	战略数据规划	218014.839080.685990.100710.113425.153422	212511534.25121354251.4312345313134.12151312251.11342535.153422
'zhan'jin'guo	战金果	218014.91.8112	212511534.34112431.25111234
'dian'kuo'zhan'han'shu	点扩展函数	218069.1047.071854.524132.685990	212514444.121413.5131221534.52413452.4312345313134
'dian'jie'chu'er'ji'guan	点接触二极管	218069.106159.3526.11.12354.374621	212514444.12141431531.3535112251214.11.1234354.31431444525151
'dian'ji'she'bei	点击设备	218069.1120.403554.9083	212514444.11252.453554.35425121
'dian'yun'suan	点运算	218069.115444.378212	212514444.1154454.31431425111132
'dian'hua'xian	点划线	218069.153422.551154	212514444.153422.55111534
'dian'dao'dian	点到点	218069.154192.218069	212514444.15412122.212514444
'dian'dao'dian'wang'luo	点到点网络	218069.154192.218069.253434.559080	212514444.15412122.212514444.253434.551354251
'dian'ke'jian'xing	点可见性	218069.1802.2535.49371	212514444.12512.2535.44231121
'dian'guang'yuan	点光源	218069.24135.441334	212514444.243135.4411332511234
'dian'tu	点图	218069.259041	212514444.25354441
'dian'shi	点蚀	218069.3026	212514444.355251214
'dian'shi'xi'shu	点蚀系数	218069.3026.356234.685990	212514444.355251214.3554234.4312345313134
'dian'shi'dian'wei	点蚀电位	218069.3026.815.3261	212514444.355251214.25115.3241431
'dian'ji	点集	218069.324172	212514444.324111211234
'dian'di'fu'shi'shi'yan	点滴腐蚀试验	218069.446110.473214.3026.401124.503411	212514444.44141432512251.41332124253434.355251214.45112154.5513414431
'dian'zhen'da'yin'ji	点阵打印机	218069.5277.1012.35152.1235	212514444.521512.12112.35152.123435
'dian'zhen'qu'lv	点阵曲率	218069.5277.25171.415642	212514444.521512.251221.41554413412
'dian'zhen'jing'du	点阵精度	218069.5277.687121.471854	212514444.521512.43123411212511.413122154
'dian'dui'dian'xie'yi	点对点协议	218069.54124.218069.125344.40434	212514444.54124.212514444.125344.45434
'dian'dui'dian'tong'xin	点对点通信	218069.54124.218069.542514.3240	212514444.54124.212514444.5425112454.324111251
'dian'dui'dian'lian'jie	点对点连接	218069.54124.218069.77454.106159	212514444.54124.212514444.1512454.12141431531
'dian'dui'duo'dian'tong'xin	点对多点通信	218069.54124.9090.218069.542514.3240	212514444.54124.354354.212514444.5425112454.324111251
'dian'tong'xin	点通信	218069.542514.3240	212514444.5425112454.324111251
'dian'han	点焊	218069.698112	212514444.43342511112
'dian'han'feng	点焊缝	218069.698112.559074	212514444.43342511112.5513541112454
'dian'mu'biao	点目标	218069.82.121124	212514444.25111.123411234
'dian'que'xian	点缺陷	218069.945134.523597	212514444.3112525134.5235321511
'zhuo'mian	桌面	218112.132521	2125111234.132522111
'zhuo'mian'chu'ban'xi'tong	桌面出版系统	218112.132521.02.321534.356234.554155	2125111234.132522111.52252.32153354.3554234.551415435
'zhuo'mian'cao'zuo'xi'tong	桌面操作系统	218112.132521.108082.323121.356234.554155	2125111234.132522111.1212512512511234.3231211.3554234.551415435
'zhuo'mian'jian'cha	桌面检查	218112.132521.123411.12811	2125111234.132522111.12343414431.123425111
'zhuo'mian'ji	桌面机	218112.132521.1235	2125111234.132522111.123435
'zhuo'mian'you'ling'mu'ma	桌面幽灵木马	218112.132521.256562.0169.12.50	2125111234.132522111.255455452.5114334.1234.551
'zhuo'mian'hua'wang	桌面华网	218112.132521.323512.253434	2125111234.132522111.323512.253434
'zhuo'mian'hui'yi	桌面会议	218112.132521.341154.40434	2125111234.132522111.341154.45434
'zhuo'mian'ji'suan'ji	桌面计算机	218112.132521.4012.378212.1235	2125111234.132522111.4512.31431425111132.123435
'zhuo'mian'wen'jian	桌面文件	218112.132521.66.3231	2125111234.132522111.4134.323112
'zhuo'mian'chu'li'qi	桌面处理器	218112.132521.9024.118121.808010	2125111234.132522111.35424.11212511211.2512511344251251
'ye'wu	业务	22.9053	22431.35453
'ye'wu'liang	业务量	22.9053.811811	22431.35453.251112511211
'ye'wu'liang'kong'zhi	业务量控制	22.9053.811811.104631.311252	22431.35453.251112511211.12144534121.31125222
'ye'wu'liang'guan'li	业务量管理	22.9053.811811.374621.118121	22431.35453.251112511211.31431444525151.11212511211
'ye'wu'he'tong	业务合同	22.9053.92.25180	22431.35453.341251.251251
'jian'xiang	鉴相	223141.1282	2231434112431.123425111
'jian'xiang'qi	鉴相器	223141.1282.808010	2231434112431.123425111.2512511344251251
'jian'pin	鉴频	223141.212338	2231434112431.2121233132534
'jian'pin'jian'xiang	鉴频鉴相	223141.212338.223141.1282	2231434112431.2121233132534.2231434112431.123425111
'jian'pin'qi	鉴频器	223141.212338.808010	2231434112431.2121233132534.2512511344251251
'jian'ding'xu'qiu	鉴定需求	223141.461214.161322.124134	2231434112431.44512134.14524444132522.1241344
'jian'ding'shi'yan	鉴定试验	223141.461214.401124.503411	2231434112431.44512134.45112154.5513414431
'jian'bie	鉴别	223141.805322	2231434112431.2515322
'jian'bie'xin'xi	鉴别信息	223141.805322.3240.38265	2231434112431.2515322.324111251.3251114544
'jian'bie'tou	鉴别头	223141.805322.44134	2231434112431.2515322.44134
'jian'bie'jiao'huan	鉴别交换	223141.805322.6634.103524	2231434112431.2515322.413434.1213525134
'jian'bie'shu'ju	鉴别数据	223141.805322.685990.100710	2231434112431.2515322.4312345313134.12151312251
'jian'bie'luo'ji	鉴别逻辑	223141.805322.849044.778072	2231434112431.2515322.25221354454.1521251122111
'lin'shi'dui'huan'wen'jian	临时对换文件	223141.81124.54124.103524.66.3231	223142521.2511124.54124.1213525134.4134.323112
'lin'shi'zi'cheng'xu	临时子程序	223141.81124.58.928011.4754	223142521.2511124.521.312342511121.4135452
'lin'shi'wen'jian	临时文件	223141.81124.66.3231	223142521.2511124.4134.323112
'lin'shi'biao	临时表	223141.81124.713534	223142521.2511124.11213534
'lin'jie'kong'zhi	临界控制	223141.833432.104631.311252	223142521.251213432.12144534121.31125222
'lin'jie'gong'lv	临界功率	223141.833432.12153.415642	223142521.251213432.12153.41554413412
'lin'jie'ya'li'bi	临界压力比	223141.833432.13194.53.1535	223142521.251213432.131214.53.1535
'lin'jie'lie'wen'chi'cun	临界裂纹尺寸	223141.833432.132244.5566.074.124	223142521.251213432.135422413534.5514134.5134.124
'lin'jie'qu	临界区	223141.833432.1345	223142521.251213432.1345
'lin'jie'pin'lv	临界频率	223141.833432.212338.415642	223142521.251213432.2121233132534.41554413412
'lin'jie'lu'jing	临界路径	223141.833432.299080.335411	223142521.251213432.2512121354251.33254121
'lin'jie'bao'hu'dian'wei	临界保护电位	223141.833432.328012.10407.815.3261	223142521.251213432.322511234.1214513.25115.3241431
'lin'jie'fu'zai'xian	临界负载线	223141.833432.3528.121774.551154	223142521.251213432.352534.1211521534.55111534
'lin'jie'zi'yuan	临界资源	223141.833432.413538.441334	223142521.251213432.4135342534.4411332511234
'lin'jie'bo'chang	临界波长	223141.833432.445324.3154	223142521.251213432.44153254.3154
'lin'jie'shi'du	临界湿度	223141.833432.448122.471854	223142521.251213432.441251122431.413122154
'lin'jie'you'mo'hou'du	临界油膜厚度	223141.833432.4483.361784.138158.471854	223142521.251213432.44125121.35111222511134.132511521.413122154
'lin'jie'zu'ni	临界阻尼	223141.833432.5227.0735	223142521.251213432.5225111.51335
'lin'jie'qi'mo'hou'du	临界气膜厚度	223141.833432.67.361784.138158.471854	223142521.251213432.3115.35111222511134.132511521.413122154
'lin'jie'zhuan'su	临界转速	223141.833432.771154.180234	223142521.251213432.15211154.1251234454
'lin'jie'dun'hua'dian'wei	临界钝化电位	223141.833432.911525.3235.815.3261	223142521.251213432.311151525.3235.25115.3241431
'lin'jie'dun'hua'dian'liu	临界钝化电流	223141.833432.911525.3235.815.444155	223142521.251213432.311151525.3235.25115.4414154325
'jian'hu'bing'shi	监护病室	223144.10407.481254.461549	2231425221.1214513.4134112534.445154121
'jian'kong'ren'wu	监控任务	223144.104631.32319.9053	2231425221.12144534121.323121.35453
'jian'kong'tai	监控台	223144.104631.5480	2231425221.12144534121.54251
'jian'kong'fang'shi	监控方式	223144.104631.60.112154	2231425221.12144534121.4153.112154
'jian'kong'cheng'xu	监控程序	223144.104631.928011.4754	2231425221.12144534121.312342511121.4135452
'jian'ce'wang'lu	监测网路	223144.442822.253434.299080	2231425221.441253422.253434.2512121354251
'jian'shi'lei'da	监视雷达	223144.622535.1683.134454	2231425221.45242535.1452444425121.134454
'jian'shi'xin'yuan	监视信元	223144.622535.3240.1135	2231425221.45242535.324111251.1135
'jian'shi'zhuang'tai	监视状态	223144.622535.412134.134465	2231425221.45242535.4121344.13444544
'jian'shi'ding'shi'qi	监视定时器	223144.622535.461214.81124.808010	2231425221.45242535.44512134.2511124.2512511344251251
'jian'shi'qi	监视器	223144.622535.808010	2231425221.45242535.2512511344251251
'jian'du'kong'zhi	监督控制	223144.875482.104631.311252	2231425221.2112345425111.12144534121.31125222
'jian'du'dan'wei	监督单位	223144.875482.438112.3261	2231425221.2112345425111.43251112.3241431
'jian'du'xue'xi	监督学习	223144.875482.6458.04	2231425221.2112345425111.44345521.541
'jian'ren'xing	坚韧性	225419.115254.49371	2254121.1152534.44231121
'shen'gong'neng'yi	肾功能仪	225421.12153.542515.32434	22542511.12153.5425113535.32434
'jin'zhi'ce'shi	紧致测试	225454.154190.442822.401124	2254554234.1541213134.441253422.45112154
'jin'gu'jian	紧固件	225454.251281.3231	2254554234.25122511.323112
'jin'ti	紧蹄	225454.296125	2254554234.2512121414345252
'jin'ji'kai'tou	紧急开头	225454.350165.1132.44134	2254554234.355114544.1132.44134
'jin'ji'duan'dian	紧急断电	225454.350165.685332.815	2254554234.355114544.43123453312.25115
'jin'chong'ma	紧充码	225454.415435.1450	2254554234.415435.13251551
'jin'cou'mo'shi	紧凑模式	225454.417314.121784.112154	2254554234.41111341134.12341222511134.112154
'jin'ding'luo'ding	紧定螺钉	225454.461214.268354.9112	2254554234.44512134.25121425121554234.3111512
'jin'mi'yi'zhi'xing	紧密一致性	225454.466520.1.154190.49371	2254554234.44545434252.1.1541213134.44231121
'jin'bian	紧边	225454.53454	2254554234.53454
'jin'bian'la'li	紧边拉力	225454.53454.1061.53	2254554234.53454.12141431.53
'jin'ou'he	紧耦合	225454.718124.92	2254554234.111234251125214.341251
'jin'hou'yin	紧喉音	225454.803254.6181	2254554234.251325131134.414312511
'shu'pai	竖排	225461.1023	225441431.12121112111
'shu'zhi'pen'she	竖直喷射	225461.1227.801218.95124	225441431.12251111.251121222534.3251113124
'shu'xiang	竖向	225461.32580	225441431.325251
'fei'ping'bi'shuang'jiao'xian	非屏蔽双绞线	23.074332.176890.5454.556634.551154	21112111.513431132.12243252343134.5454.551413434.55111534
'fei'tuo'guan'dai'ma	非托管代码	23.10315.374621.32154.1450	21112111.121315.31431444525151.32154.13251551
'fei'qiang'xian'diao'du	非抢先调度	23.103455.31935.403510.471854	21112111.1213455.312135.4535121251.413122154
'fei'hui'fa'xing	非挥发性	23.104577.53544.49371	21112111.121451512.53544.44231121
'fei'jie'chu'shi'yan'mo	非接触式掩模	23.106159.3526.112154.101345.121784	21112111.12141431531.3535112251214.112154.12113425115.12341222511134
'fei'jie'chu'shi'mi'feng	非接触式密封	23.106159.3526.112154.466520.191914	21112111.12141431531.3535112251214.112154.44545434252.121121124
'fei'gong'zuo'chi'mian	非工作齿面	23.121.323121.21.132521	21112111.121.3231211.21213452.132522111
'fei'ben'zheng	非本征	23.121.33121	21112111.12341.33212121
'fei'ben'zheng'ban'dao'ti	非本征半导体	23.121.33121.432.515124.32121	21112111.12341.33212121.43112.515124.3212341
'fei'biao'zhun'chi'lun	非标准齿轮	23.121124.413241.21.773435	21112111.123411234.4132411121.21213452.15213435
'fei'zhi'jie'jie'chu'shi'zhi'dong'qi	非直接接触式制动器	23.1227.106159.106159.3526.112154.311252.115453.808010	21112111.12251111.12141431531.12141431531.3535112251214.112154.31125222.115453.2512511344251251
'fei'guo'cheng'yu'yan	非过程语言	23.124454.928011.401250.40	21112111.124454.312342511121.451251251.4111251
'fei'xiang'gan'jian'ce	非相干检测	23.1282.112.123411.442822	21112111.123425111.112.12343414431.441253422
'fei'cheng'zi'bu'jian	非成字部件	23.135534.4658.618052.3231	21112111.135534.445521.4143125152.323112
'fei'ping'mian'wang'luo	非平面网络	23.14312.132521.253434.559080	21112111.14312.132522111.253434.551354251
'fei'ping'heng'shi'ji'xie'mi'feng	非平衡式机械密封	23.14312.333582.112154.1235.121134.466520.191914	21112111.14312.3323525121134112.112154.123435.12341132534.44545434252.121121124
'fei'ping'heng'zai'liu'zi	非平衡载流子	23.14312.333582.121774.444155.58	21112111.14312.3323525121134112.1211521534.4414154325.521
'fei'ping'heng'shu	非平衡树	23.14312.333582.125414	21112111.14312.3323525121134112.123454124
'fei'ping'wen'zhen'dong	非平稳振动	23.14312.923505.101314.115453	21112111.14312.31234355114544.1211311534.115453
'fei'ping'wen'xin'dao	非平稳信道	23.14312.923505.3240.431384	21112111.14312.31234355114544.324111251.431325111454
'fei'que'bao'cao'zuo	非确保操作	23.1435.328012.108082.323121	21112111.132513535112.322511234.1212512512511234.3231211
'fei'que'ding'ji'suan	非确定计算	23.1435.461214.4012.378212	21112111.132513535112.44512134.4512.31431425111132
'fei'que'ding'xing'gu'zhang	非确定性故障	23.1435.461214.49371.128090.526182	21112111.132513535112.44512134.44231121.122513134.5241431251112
'fei'zhi'ming'gu'zhang	非致命故障	23.154190.341802.128090.526182	21112111.1541213134.34125152.122513134.5241431251112
'fei'zhi'ming'shi'xiao	非致命失效	23.154190.341802.31134.663490	21112111.1541213134.34125152.31134.4134343134
'fei'hu'yi'wang'luo	非互易网络	23.1551.813533.253434.559080	21112111.1551.25113533.253434.551354251
'fei'hu'yi'yi'xiang'qi	非互易移相器	23.1551.813533.929090.1282.808010	21112111.1551.25113533.31234354354.123425111.2512511344251251
'fei'ling'zhi	非零值	23.163444.321227	21112111.1452444434454.3212251111
'fei'gong'ge'jing'jie	非共格晶界	23.1834.129080.818181.833432	21112111.122134.1234354251.251125112511.251213432
'fei'jun'yun'zhan'kuan	非均匀展宽	23.193541.3541.071854.461725	21112111.1213541.3541.5131221534.4451222535
'fei'jun'yun'you'li	非均匀有理	23.193541.3541.132511.118121	21112111.1213541.3541.132511.11212511211
'fei'chang'gui'shi'yan'shai'zu	非常规试验筛组	23.248025.113425.401124.503411.372315.5527	21112111.24345251252.11342535.45112154.5513414431.314314231252.55125111
'fei'chang'gui'bian'ma	非常规编码	23.248025.113425.554077.1450	21112111.24345251252.11342535.551451325122.13251551
'fei'yuan'chi'lun	非圆齿轮	23.258021.21.773435	21112111.2525125341.21213452.15213435
'fei'yuan'chi'lun'ji'gou	非圆齿轮机构	23.258021.21.773435.1235.123554	21112111.2525125341.21213452.15213435.123435.12343554
'fei'yuan'hua'dong'zhou'cheng	非圆滑动轴承	23.258021.4485.115453.7783.581154	21112111.2525125341.441255452511.115453.152125121.52111534
'fei'bao'he'ci'ji'lu	非饱和磁记录	23.303555.9280.144316.40515.012414	21112111.35535515.31234251.13251431554554.45515.51124134
'fei'te	非特	23.311914	21112111.3121121124
'fei'chuan'tong'ji'suan'ji	非传统计算机	23.321154.554155.4012.378212.1235	21112111.321154.551415435.4512.31431425111132.123435
'fei'zhou'qi'zhen'dong	非周期振动	23.351980.7036.101314.115453	21112111.35121251.122111343511.1211311534.115453
'fei'zhou'qi'tian'xian	非周期天线	23.351980.7036.1134.551154	21112111.35121251.122111343511.1134.55111534
'fei'zhou'qi'xing'su'du'bo'dong	非周期性速度波动	23.351980.7036.49371.180234.471854.445324.115453	21112111.35121251.122111343511.44231121.1251234454.413122154.44153254.115453
'fei'yun'xiang'cheng'he	非匀相成核	23.3541.1282.135534.124154	21112111.3541.123425111.135534.1234415334
'fei'zi'chi'fang'dian	非自持放电	23.382.101914.6090.815	21112111.325111.121121124.41533134.25115
'fei'zi'fan'xing	非自反性	23.382.3354.49371	21112111.325111.3354.44231121
'fei'shou'cha'yi'chang	非受查异常	23.394554.12811.515132.248025	21112111.34434554.123425111.515132.24345251252
'fei'ji'suan'yan'chi	非计算延迟	23.4012.378212.321554.074454	21112111.4512.31431425111132.321554.5134454
'fei'tiao'su'dian'qi'chuan'dong	非调速电气传动	23.403510.180234.815.67.321154.115453	21112111.4535121251.1251234454.25115.3115.321154.115453
'fei'qing'qiu'fen'ye	非请求分页	23.407121.124134.3453.1328	21112111.4511212511.1241344.3453.132534
'fei'shi'bie'xing	非识别型	23.408034.805322.113229	21112111.4525134.2515322.113222121
'fei'zhu'shu'xing	非主属性	23.411.073804.49371	21112111.41121.513325125214.44231121
'fei'zhu'yao'chi'cun	非主要尺寸	23.411.7459.074.124	21112111.41121.125221531.5134.124
'fei'men	非门	23.42	21112111.425
'fei'yu'luo'ji	非阈逻辑	23.421804.849044.778072	21112111.42512511534.25221354454.1521251122111
'fei'dan'diao'tui'li	非单调推理	23.438112.403510.103241.118121	21112111.43251112.4535121251.12132411121.11212511211
'fei'ji'huo	非激活	23.443810.4496	21112111.4413251141533134.441312251
'fei'ji'huo'ye'mian	非激活页面	23.443810.4496.1328.132521	21112111.4413251141533134.441312251.132534.132522111
'fei'liu'xing	非流形	23.444155.113233	21112111.4414154325.1132333
'fei'liu'xing'zao'xing	非流形造型	23.444155.113233.319804.113229	21112111.4414154325.1132333.3121251454.113222121
'fei'mo'ca'zhi'dong'qi	非摩擦制动器	23.471217.104694.311252.115453.808010	21112111.413123412343112.12144535445411234.31125222.115453.2512511344251251
'fei'xian'zhi'xing'yu'fa	非限制型语法	23.5203.311252.113229.401250.441954	21112111.52511534.31125222.113222121.451251251.44112154
'fei'xian'zhi'wen'fa	非限制文法	23.5203.311252.66.441954	21112111.52511534.31125222.4134.44112154
'fei'xian'ding'shi'zi'ju	非限定式子句	23.5203.461214.112154.58.3580	21112111.52511534.44512134.112154.521.35251
'fei'dui'chen	非对称	23.54124.923524	21112111.54124.3123435234
'fei'dui'chen'yun'dong'gui'ji	非对称运动轨迹	23.54124.923524.115444.115453.7735.66454	21112111.54124.3123435234.1154454.115453.152135.413234454
'fei'dui'chen'xuan'ze'wang	非对称选择网	23.54124.923524.319354.105412.253434	21112111.54124.3123435234.312135454.12154112.253434
'fei'dui'chen'mi'ma	非对称密码	23.54124.923524.466520.1450	21112111.54124.3123435234.44545434252.13251551
'fei'yu'ding'wei'xiu	非预定维修	23.541328.461214.553241.322903	21112111.5452132534.44512134.55132411121.322354333
'fei'xian'xing	非线性	23.551154.49371	21112111.55111534.44231121
'fei'xian'xing'zhen'dong	非线性振动	23.551154.49371.101314.115453	21112111.55111534.44231121.1211311534.115453
'fei'xian'xing'kong'zhi'xi'tong	非线性控制系统	23.551154.49371.104631.311252.356234.554155	21112111.55111534.44231121.12144534121.31125222.3554234.551415435
'fei'xian'xing'jian'xiang'qi	非线性鉴相器	23.551154.49371.223141.1282.808010	21112111.55111534.44231121.2231434112431.123425111.2512511344251251
'fei'xian'xing'guang'hun'pin	非线性光混频	23.551154.49371.24135.448115.212338	21112111.55111534.44231121.243135.44125111535.2121233132534
'fei'xian'xing'guang'xue	非线性光学	23.551154.49371.24135.6458	21112111.55111534.44231121.243135.44345521
'fei'xian'xing'wang'luo	非线性网络	23.551154.49371.253434.559080	21112111.55111534.44231121.253434.551354251
'fei'xian'xing'shi'zhen	非线性失真	23.551154.49371.31134.122734	21112111.55111534.44231121.31134.1225111134
'fei'xian'xing'ji'cheng'dian'lu	非线性集成电路	23.551154.49371.324172.135534.815.299080	21112111.55111534.44231121.324111211234.135534.25115.2512121354251
'fei'xian'xing'liu'shui'xian	非线性流水线	23.551154.49371.444155.2534.551154	21112111.55111534.44231121.4414154325.2534.55111534
'fei'xian'xing'dao'hang	非线性导航	23.551154.49371.515124.934135	21112111.55111534.44231121.515124.3354144135
'fei'xian'xing'bian'ji	非线性编辑	23.551154.49371.554077.778072	21112111.55111534.44231121.551451325122.1521251122111
'fei'xian'xing'liang'hua	非线性量化	23.551154.49371.811811.3235	21112111.55111534.44231121.251112511211.3235
'fei'xian'rao'dian'wei'qi	非线绕电位器	23.551154.551535.815.3261.808010	21112111.55111534.551153135.25115.3241431.2512511344251251
'fei'zhong'ji'fu	非终极符	23.559044.12354.373214	21112111.55135444.1234354.31431432124
'fei'zhong'jie'fu	非终结符	23.559044.551980.373214	21112111.55135444.551121251.31431432124
'fei'tan'xing'peng'zhuang	非弹性碰撞	23.574382.49371.144312.106181	21112111.51543251112.44231121.1325143122431.121414312511211
'fei'bu'chang'huan	非补偿环	23.6324.322414.111324	21112111.4523424.32243451154.11211324
'fei'bu'chang'huan'zuo	非补偿环座	23.6324.322414.111324.473439	21112111.4523424.32243451154.11211324.4133434121
'fei'bi'ran'xing	非必然性	23.65.901349.49371	21112111.45434.354413444444.44231121
'fei'jiao'huan'lian'jie	非交换连接	23.6634.103524.77454.106159	21112111.413434.1213525134.1512454.12141431531
'fei'bian'wei'chi'lun	非变位齿轮	23.6654.3261.21.773435	21112111.41223454.3241431.21213452.15213435
'fei'ou'he'zhen'xing	非耦合振型	23.718124.92.101314.113229	21112111.111234251125214.341251.1211311534.113222121
'fei'wo'chuang'jian'hu	非卧床监护	23.7224.4712.223144.10407	21112111.12512524.4131234.2231425221.1214513
'fei'jing'tai'ban'dao'ti	非晶态半导体	23.818181.134465.432.515124.32121	21112111.251125112511.13444544.43112.515124.3212341
'fei'jing'gui	非晶硅	23.818181.141919	21112111.251125112511.13251121121
'fei'jing'ci'xing'cai'liao	非晶磁性材料	23.818181.144316.49371.12123.684412	21112111.251125112511.13251431554554.44231121.1234123.4312344412
'fei'wen'ding'xie'zhen'qiang	非稳定谐振腔	23.923505.461214.401531.101314.364631	21112111.31234355114544.44512134.45153532511.1211311534.351144534121
'fei'mi'mi'xing	非秘密性	23.9265.466520.49371	21112111.3123445434.44545434252.44231121
'gui'yi'hua'tan'ce'lv	归一化探测率	2301.1.3235.104532.442822.415642	23511.1.3235.12145341234.441253422.41554413412
'gui'yi'hua'zu'kang	归一化阻抗	2301.1.3235.5227.104135	23511.1.3235.5225111.1214135
'gui'dang'wen'jian	归档文件	2301.122401.66.3231	23511.1234243511.4134.323112
'gui'ling	归零	2301.163444	23511.1452444434454
'gui'bing	归并	2301.4332	23511.431132
'gui'bing'sao'miao'fa	归并扫描法	2301.4332.1001.101783.441954	23511.431132.121511.12112225121.44112154
'gui'bing'pai'xu	归并排序	2301.4332.1023.4754	23511.431132.12121112111.4135452
'gui'bing'cha'ru	归并插入	2301.4332.103127.34	23511.431132.121312321511.34
'gui'jie	归结	2301.551980	23511.551121251
'gui'jie'yuan'li	归结原理	2301.551980.133814.118121	23511.551121251.1332511234.11212511211
'gui'jie'zhu'ti	归结主体	2301.551980.411.32121	23511.551121251.41121.3212341
'gui'na'tui'li	归纳推理	2301.552534.103241.118121	23511.5512534.12132411121.11212511211
'gui'na'ming'ti	归纳命题	2301.552534.341802.811218	23511.5512534.34125152.251112134132534
'gui'na'gong'li	归纳公理	2301.552534.3454.118121	23511.5512534.3454.11212511211
'gui'na'fan'hua	归纳泛化	2301.552534.443454.3235	23511.5512534.4413454.3235
'gui'na'zong'he'fang'fa	归纳综合方法	2301.552534.554614.92.60.441954	23511.5512534.55144511234.341251.4153.44112154
'gui'na'xue'xi	归纳学习	2301.552534.6458.04	23511.5512534.44345521.541
'gui'na'duan'yan	归纳断言	2301.552534.685332.40	23511.5512534.43123453312.4111251
'gui'na'duan'yan'fa	归纳断言法	2301.552534.685332.40.441954	23511.5512534.43123453312.4111251.44112154
'gui'na'luo'ji	归纳逻辑	2301.552534.849044.778072	23511.5512534.25221354454.1521251122111
'gui'yue	归约	2301.55354	23511.551354
'xiao'rao'dong'li'lun	小扰动理论	234.101354.115453.118121.403435	234.1211354.115453.11212511211.453435
'xiao'xing'ji'suan'ji	小型计算机	234.113229.4012.378212.1235	234.113222121.4512.31431425111132.123435
'xiao'ping'mian	小平面	234.14312.132521	234.14312.132522111
'xiao'ju'xing'ji'suan'ji	小巨型计算机	234.1515.113229.4012.378212.1235	234.1515.113222121.4512.31431425111132.123435
'xiao'chi'lun	小齿轮	234.21.773435	234.21213452.15213435
'xiao'xin'hao'zeng'yi	小信号增益	234.3240.8015.194321.431344	234.324111251.25115.121432524312511.4313425221
'xiao'xin'hao'fen'xi	小信号分析	234.3240.8015.3453.123312	234.324111251.25115.3453.12343312
'xiao'jing	小径	234.335411	234.33254121
'xiao'jing'jian'xi	小径间隙	234.335411.4281.522344	234.33254121.4252511.522342511234
'xiao'fu'wu'cheng'xu	小服务程序	234.365254.9053.928011.4754	234.35115254.35453.312342511121.4135452
'xiao'yu'zhong	小语种	234.401250.92802	234.451251251.312342512
'xiao'ban'yuan'tou'mao'ding	小半圆头铆钉	234.432.258021.44134.913532.9112	234.43112.2525125341.44134.3111535352.3111512
'xiao'bo'bao'ji	小波包基	234.445324.35515.7019	234.44153254.35515.12211134121
'xiao'bo'wen'shou'bing'lun	小波纹手柄轮	234.445324.5566.67.121254.773435	234.44153254.5514134.3112.123412534.15213435
'xiao'bo'bian'huan	小波变换	234.445324.6654.103524	234.44153254.41223454.1213525134
'xiao'bo'ji	小波基	234.445324.7019	234.44153254.12211134121
'xiao'gun'zi	小滚子	234.446654.58	234.4414134543534.521
'xiao'ying'yong'cheng'xu	小应用程序	234.47641.35112.928011.4754	234.4134431.35112.312342511121.4135452
'xiao'hong'san	小红伞	234.55121.344312	234.551121.344312
'xiao'yin'chu'xian'feng'zhuang	小引出线封装	234.572.02.551154.191914.412194	234.5152.52252.55111534.121121124.412121413534
'xiao'duan'luo'xuan'jiao	小端螺旋角	234.612012.268354.603108.35	234.41431252132522.25121425121554234.41533152134.3535112
'xiao'shou'lun	小手轮	234.67.773435	234.3112.15213435
'xiao'jian'pan	小键盘	234.910114.9384	234.3111551111254.33541425221
'xiao'lian'lun	小链轮	234.917744.773435	234.311151512454.15213435
'xiao'dao'xiao'ying	小岛效应	234.9920.663490.47641	234.3545252.4134343134.4134431
'jian'dian	尖点	234134.218069	234134.212514444
'jian'di'cong'dong'jian	尖底从动件	234134.473514.3434.115453.3231	234134.41335154.3434.115453.323112
'jian'gou'duan'tan'xing'dian'quan	尖钩端弹性垫圈	234134.913554.612012.574382.49371.103549.254351	234134.311153554.41431252132522.51543251112.44231121.121354121.25431134551
'shao'chi'cha'chi'lun'fu	少齿差齿轮副	2343.21.43121.21.773435.180832	2343.21213452.431113121.21213452.15213435.12512512122
'shao'chi'cha'xing'xing'chuan'dong	少齿差行星传动	2343.21.43121.33112.81371.321154.115453	2343.21213452.431113121.332112.251131121.321154.115453
'shao'shu'zai'liu'zi	少数载流子	2343.685990.121774.444155.58	2343.4312345313134.1211521534.4414154325.521
'sheng'bing'ci	省并词	234382.4332.405180	234325111.431132.4551251
'sheng'lue'hua'fa	省略画法	234382.839080.18352.441954	234325111.25121354251.12512152.44112154
'dang'yun'dong'bu'jian	当运动部件	2401.115444.115453.618052.3231	243511.1154454.115453.4143125152.323112
'dang'ke'kao'du	当可靠度	2401.1802.319803.471854	243511.12512.312125121112111.413122154
'dang'qian'ye	当前页	2401.431252.1328	243511.431251122.132534
'dang'qian'zhang'hu	当前帐户	2401.431252.253154.407	243511.431251122.2523154.4513
